Optimixation level, N value, Time taken (seconds)
-O0, 650000000, 14.423
-O0, 650000000, 14.2111
-O0, 650000000, 14.1823
-O0, 650000000, 14.1113
-O0, 650000000, 14.1713
-O0, 650000000, 14.2198
-O1, 650000000, 13.9702
-O1, 650000000, 13.9063
-O1, 650000000, 13.9273
-O1, 650000000, 13.9084
-O1, 650000000, 13.8982
-O1, 650000000, 13.9221
-O2, 650000000, 13.9923
-O2, 650000000, 13.8732
-O2, 650000000, 13.8724
-O2, 650000000, 13.8527
-O2, 650000000, 13.8729
-O2, 650000000, 13.8927
-O3, 650000000, 13.9162
-O3, 650000000, 13.8699
-O3, 650000000, 13.8782
-O3, 650000000, 13.8897
-O3, 650000000, 13.9842
-O3, 650000000, 13.9077
-Os, 650000000, 13.7664
-Os, 650000000, 13.8066
-Os, 650000000, 14.025
-Os, 650000000, 14.2114
-Os, 650000000, 13.7947
-Os, 650000000, 13.9208
